"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 25 ending June 24, 2023 (provisional)"	"2023/25"	17	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 29 ending July 22, 2023 (provisional)"	"2023/29"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 30 ending July 29, 2023 (provisional)"	"2023/30"	19	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 31 ending August 05, 2023 (provisional)"	"2023/31"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 32 ending August 12, 2023 (provisional)"	"2023/32"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 33 ending August 19, 2023 (provisional)"	"2023/33"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 35 ending September 02, 2023 (provisional)"	"2023/35"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 37 ending September 16, 2023 (provisional)"	"2023/37"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 41 ending October 14, 2023 (provisional)"	"2023/41"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 42 ending October 21, 2023 (provisional)"	"2023/42"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 46 ending November 18, 2023 (provisional)"	"2023/46"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 47 ending November 25, 2023 (provisional)"	"2023/47"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 48 ending December 02, 2023 (provisional)"	"2023/48"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"30-34 years"	"30-34"	"2023 Week 49 ending December 09, 2023 (provisional)"	"2023/49"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 01 ending January 07, 2023 (provisional)"	"2023/01"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 03 ending January 21, 2023 (provisional)"	"2023/03"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 06 ending February 11, 2023 (provisional)"	"2023/06"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 08 ending February 25, 2023 (provisional)"	"2023/08"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 09 ending March 04, 2023 (provisional)"	"2023/09"	17	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 11 ending March 18, 2023 (provisional)"	"2023/11"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 12 ending March 25, 2023 (provisional)"	"2023/12"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 13 ending April 01, 2023 (provisional)"	"2023/13"	16	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 15 ending April 15, 2023 (provisional)"	"2023/15"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 16 ending April 22, 2023 (provisional)"	"2023/16"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 17 ending April 29, 2023 (provisional)"	"2023/17"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 18 ending May 06, 2023 (provisional)"	"2023/18"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 20 ending May 20, 2023 (provisional)"	"2023/20"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 21 ending May 27, 2023 (provisional)"	"2023/21"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 23 ending June 10, 2023 (provisional)"	"2023/23"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 25 ending June 24, 2023 (provisional)"	"2023/25"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 26 ending July 01, 2023 (provisional)"	"2023/26"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 27 ending July 08, 2023 (provisional)"	"2023/27"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 28 ending July 15, 2023 (provisional)"	"2023/28"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 31 ending August 05, 2023 (provisional)"	"2023/31"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 32 ending August 12, 2023 (provisional)"	"2023/32"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 33 ending August 19, 2023 (provisional)"	"2023/33"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 35 ending September 02, 2023 (provisional)"	"2023/35"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 36 ending September 09, 2023 (provisional)"	"2023/36"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 39 ending September 30, 2023 (provisional)"	"2023/39"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 40 ending October 07, 2023 (provisional)"	"2023/40"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 45 ending November 11, 2023 (provisional)"	"2023/45"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 46 ending November 18, 2023 (provisional)"	"2023/46"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 47 ending November 25, 2023 (provisional)"	"2023/47"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 48 ending December 02, 2023 (provisional)"	"2023/48"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 49 ending December 09, 2023 (provisional)"	"2023/49"	16	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 50 ending December 16, 2023 (provisional)"	"2023/50"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 51 ending December 23, 2023 (provisional)"	"2023/51"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"35-39 years"	"35-39"	"2023 Week 52 ending December 30, 2023 (provisional)"	"2023/52"	17	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 01 ending January 07, 2023 (provisional)"	"2023/01"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 02 ending January 14, 2023 (provisional)"	"2023/02"	19	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 04 ending January 28, 2023 (provisional)"	"2023/04"	18	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 05 ending February 04, 2023 (provisional)"	"2023/05"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 06 ending February 11, 2023 (provisional)"	"2023/06"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 08 ending February 25, 2023 (provisional)"	"2023/08"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 11 ending March 18, 2023 (provisional)"	"2023/11"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 12 ending March 25, 2023 (provisional)"	"2023/12"	17	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 13 ending April 01, 2023 (provisional)"	"2023/13"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 14 ending April 08, 2023 (provisional)"	"2023/14"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 15 ending April 15, 2023 (provisional)"	"2023/15"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 16 ending April 22, 2023 (provisional)"	"2023/16"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 17 ending April 29, 2023 (provisional)"	"2023/17"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 18 ending May 06, 2023 (provisional)"	"2023/18"	16	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 19 ending May 13, 2023 (provisional)"	"2023/19"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 20 ending May 20, 2023 (provisional)"	"2023/20"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 22 ending June 03, 2023 (provisional)"	"2023/22"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 23 ending June 10, 2023 (provisional)"	"2023/23"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 24 ending June 17, 2023 (provisional)"	"2023/24"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 25 ending June 24, 2023 (provisional)"	"2023/25"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 26 ending July 01, 2023 (provisional)"	"2023/26"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 27 ending July 08, 2023 (provisional)"	"2023/27"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 28 ending July 15, 2023 (provisional)"	"2023/28"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 29 ending July 22, 2023 (provisional)"	"2023/29"	18	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 30 ending July 29, 2023 (provisional)"	"2023/30"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 31 ending August 05, 2023 (provisional)"	"2023/31"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 32 ending August 12, 2023 (provisional)"	"2023/32"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 33 ending August 19, 2023 (provisional)"	"2023/33"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 34 ending August 26, 2023 (provisional)"	"2023/34"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 35 ending September 02, 2023 (provisional)"	"2023/35"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 36 ending September 09, 2023 (provisional)"	"2023/36"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 37 ending September 16, 2023 (provisional)"	"2023/37"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 38 ending September 23, 2023 (provisional)"	"2023/38"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 39 ending September 30, 2023 (provisional)"	"2023/39"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 41 ending October 14, 2023 (provisional)"	"2023/41"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 42 ending October 21, 2023 (provisional)"	"2023/42"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 43 ending October 28, 2023 (provisional)"	"2023/43"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 44 ending November 04, 2023 (provisional)"	"2023/44"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 46 ending November 18, 2023 (provisional)"	"2023/46"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 49 ending December 09, 2023 (provisional)"	"2023/49"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 50 ending December 16, 2023 (provisional)"	"2023/50"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"40-44 years"	"40-44"	"2023 Week 51 ending December 23, 2023 (provisional)"	"2023/51"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 01 ending January 07, 2023 (provisional)"	"2023/01"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 02 ending January 14, 2023 (provisional)"	"2023/02"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 03 ending January 21, 2023 (provisional)"	"2023/03"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 04 ending January 28, 2023 (provisional)"	"2023/04"	16	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 05 ending February 04, 2023 (provisional)"	"2023/05"	18	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 06 ending February 11, 2023 (provisional)"	"2023/06"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 07 ending February 18, 2023 (provisional)"	"2023/07"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 08 ending February 25, 2023 (provisional)"	"2023/08"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 09 ending March 04, 2023 (provisional)"	"2023/09"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 10 ending March 11, 2023 (provisional)"	"2023/10"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 11 ending March 18, 2023 (provisional)"	"2023/11"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 12 ending March 25, 2023 (provisional)"	"2023/12"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 13 ending April 01, 2023 (provisional)"	"2023/13"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 14 ending April 08, 2023 (provisional)"	"2023/14"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 15 ending April 15, 2023 (provisional)"	"2023/15"	19	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 16 ending April 22, 2023 (provisional)"	"2023/16"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 17 ending April 29, 2023 (provisional)"	"2023/17"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 18 ending May 06, 2023 (provisional)"	"2023/18"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 19 ending May 13, 2023 (provisional)"	"2023/19"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 20 ending May 20, 2023 (provisional)"	"2023/20"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 21 ending May 27, 2023 (provisional)"	"2023/21"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 22 ending June 03, 2023 (provisional)"	"2023/22"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 23 ending June 10, 2023 (provisional)"	"2023/23"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 24 ending June 17, 2023 (provisional)"	"2023/24"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 25 ending June 24, 2023 (provisional)"	"2023/25"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 26 ending July 01, 2023 (provisional)"	"2023/26"	16	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 27 ending July 08, 2023 (provisional)"	"2023/27"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 28 ending July 15, 2023 (provisional)"	"2023/28"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 29 ending July 22, 2023 (provisional)"	"2023/29"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 30 ending July 29, 2023 (provisional)"	"2023/30"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 31 ending August 05, 2023 (provisional)"	"2023/31"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 32 ending August 12, 2023 (provisional)"	"2023/32"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 33 ending August 19, 2023 (provisional)"	"2023/33"	17	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 34 ending August 26, 2023 (provisional)"	"2023/34"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 35 ending September 02, 2023 (provisional)"	"2023/35"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 37 ending September 16, 2023 (provisional)"	"2023/37"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 38 ending September 23, 2023 (provisional)"	"2023/38"	16	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 39 ending September 30, 2023 (provisional)"	"2023/39"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 40 ending October 07, 2023 (provisional)"	"2023/40"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 42 ending October 21, 2023 (provisional)"	"2023/42"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 43 ending October 28, 2023 (provisional)"	"2023/43"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 44 ending November 04, 2023 (provisional)"	"2023/44"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 45 ending November 11, 2023 (provisional)"	"2023/45"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 46 ending November 18, 2023 (provisional)"	"2023/46"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 47 ending November 25, 2023 (provisional)"	"2023/47"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 49 ending December 09, 2023 (provisional)"	"2023/49"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 50 ending December 16, 2023 (provisional)"	"2023/50"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 51 ending December 23, 2023 (provisional)"	"2023/51"	17	Not Applicable	Not Applicable
	"New Mexico"	"35"	"45-49 years"	"45-49"	"2023 Week 52 ending December 30, 2023 (provisional)"	"2023/52"	16	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 01 ending January 07, 2023 (provisional)"	"2023/01"	17	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 02 ending January 14, 2023 (provisional)"	"2023/02"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 03 ending January 21, 2023 (provisional)"	"2023/03"	19	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 04 ending January 28, 2023 (provisional)"	"2023/04"	22	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 05 ending February 04, 2023 (provisional)"	"2023/05"	17	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 06 ending February 11, 2023 (provisional)"	"2023/06"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 07 ending February 18, 2023 (provisional)"	"2023/07"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 08 ending February 25, 2023 (provisional)"	"2023/08"	20	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 09 ending March 04, 2023 (provisional)"	"2023/09"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 10 ending March 11, 2023 (provisional)"	"2023/10"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 11 ending March 18, 2023 (provisional)"	"2023/11"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 12 ending March 25, 2023 (provisional)"	"2023/12"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 13 ending April 01, 2023 (provisional)"	"2023/13"	10	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 14 ending April 08, 2023 (provisional)"	"2023/14"	13	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 15 ending April 15, 2023 (provisional)"	"2023/15"	11	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 16 ending April 22, 2023 (provisional)"	"2023/16"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 17 ending April 29, 2023 (provisional)"	"2023/17"	16	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 18 ending May 06, 2023 (provisional)"	"2023/18"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 19 ending May 13, 2023 (provisional)"	"2023/19"	21	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 20 ending May 20, 2023 (provisional)"	"2023/20"	18	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 23 ending June 10, 2023 (provisional)"	"2023/23"	21	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 24 ending June 17, 2023 (provisional)"	"2023/24"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 25 ending June 24, 2023 (provisional)"	"2023/25"	21	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 26 ending July 01, 2023 (provisional)"	"2023/26"	14	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 27 ending July 08, 2023 (provisional)"	"2023/27"	15	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 28 ending July 15, 2023 (provisional)"	"2023/28"	23	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 29 ending July 22, 2023 (provisional)"	"2023/29"	16	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 30 ending July 29, 2023 (provisional)"	"2023/30"	17	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 31 ending August 05, 2023 (provisional)"	"2023/31"	12	Not Applicable	Not Applicable
	"New Mexico"	"35"	"50-54 years"	"50-54"	"2023 Week 32 ending August 12, 2023 (provisional)"	"2023/32"	13	Not Applicable	Not Applicable
