"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 38 ending September 23, 2023 (provisional)"	"2023/38"	59	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 39 ending September 30, 2023 (provisional)"	"2023/39"	56	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 40 ending October 07, 2023 (provisional)"	"2023/40"	70	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 41 ending October 14, 2023 (provisional)"	"2023/41"	47	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 42 ending October 21, 2023 (provisional)"	"2023/42"	55	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 43 ending October 28, 2023 (provisional)"	"2023/43"	60	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 44 ending November 04, 2023 (provisional)"	"2023/44"	37	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 45 ending November 11, 2023 (provisional)"	"2023/45"	47	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 46 ending November 18, 2023 (provisional)"	"2023/46"	62	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 47 ending November 25, 2023 (provisional)"	"2023/47"	65	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 48 ending December 02, 2023 (provisional)"	"2023/48"	41	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 49 ending December 09, 2023 (provisional)"	"2023/49"	57	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 50 ending December 16, 2023 (provisional)"	"2023/50"	44	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 51 ending December 23, 2023 (provisional)"	"2023/51"	69	Not Applicable	Not Applicable
	"Maryland"	"24"	"95-99 years"	"95-99"	"2023 Week 52 ending December 30, 2023 (provisional)"	"2023/52"	51	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 02 ending January 14, 2023 (provisional)"	"2023/02"	20	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 03 ending January 21, 2023 (provisional)"	"2023/03"	14	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 04 ending January 28, 2023 (provisional)"	"2023/04"	10	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 05 ending February 04, 2023 (provisional)"	"2023/05"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 06 ending February 11, 2023 (provisional)"	"2023/06"	16	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 07 ending February 18, 2023 (provisional)"	"2023/07"	16	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 08 ending February 25, 2023 (provisional)"	"2023/08"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 09 ending March 04, 2023 (provisional)"	"2023/09"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 10 ending March 11, 2023 (provisional)"	"2023/10"	17	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 11 ending March 18, 2023 (provisional)"	"2023/11"	14	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 12 ending March 25, 2023 (provisional)"	"2023/12"	17	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 13 ending April 01, 2023 (provisional)"	"2023/13"	17	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 14 ending April 08, 2023 (provisional)"	"2023/14"	14	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 16 ending April 22, 2023 (provisional)"	"2023/16"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 17 ending April 29, 2023 (provisional)"	"2023/17"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 18 ending May 06, 2023 (provisional)"	"2023/18"	12	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 19 ending May 13, 2023 (provisional)"	"2023/19"	14	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 20 ending May 20, 2023 (provisional)"	"2023/20"	17	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 21 ending May 27, 2023 (provisional)"	"2023/21"	10	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 22 ending June 03, 2023 (provisional)"	"2023/22"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 24 ending June 17, 2023 (provisional)"	"2023/24"	18	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 26 ending July 01, 2023 (provisional)"	"2023/26"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 27 ending July 08, 2023 (provisional)"	"2023/27"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 29 ending July 22, 2023 (provisional)"	"2023/29"	15	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 31 ending August 05, 2023 (provisional)"	"2023/31"	18	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 32 ending August 12, 2023 (provisional)"	"2023/32"	12	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 33 ending August 19, 2023 (provisional)"	"2023/33"	17	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 34 ending August 26, 2023 (provisional)"	"2023/34"	15	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 36 ending September 09, 2023 (provisional)"	"2023/36"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 37 ending September 16, 2023 (provisional)"	"2023/37"	20	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 38 ending September 23, 2023 (provisional)"	"2023/38"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 39 ending September 30, 2023 (provisional)"	"2023/39"	18	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 41 ending October 14, 2023 (provisional)"	"2023/41"	21	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 43 ending October 28, 2023 (provisional)"	"2023/43"	13	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 44 ending November 04, 2023 (provisional)"	"2023/44"	10	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 46 ending November 18, 2023 (provisional)"	"2023/46"	11	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 47 ending November 25, 2023 (provisional)"	"2023/47"	19	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 48 ending December 02, 2023 (provisional)"	"2023/48"	10	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 49 ending December 09, 2023 (provisional)"	"2023/49"	19	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 50 ending December 16, 2023 (provisional)"	"2023/50"	18	Not Applicable	Not Applicable
	"Maryland"	"24"	"100+ years"	"100+"	"2023 Week 52 ending December 30, 2023 (provisional)"	"2023/52"	15	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"< 1 year"	"1"	"2023 Week 05 ending February 04, 2023 (provisional)"	"2023/05"	14	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"20-24 years"	"20-24"	"2023 Week 36 ending September 09, 2023 (provisional)"	"2023/36"	12	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"25-29 years"	"25-29"	"2023 Week 07 ending February 18, 2023 (provisional)"	"2023/07"	11	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"25-29 years"	"25-29"	"2023 Week 10 ending March 11, 2023 (provisional)"	"2023/10"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"25-29 years"	"25-29"	"2023 Week 14 ending April 08, 2023 (provisional)"	"2023/14"	10	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"25-29 years"	"25-29"	"2023 Week 15 ending April 15, 2023 (provisional)"	"2023/15"	10	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"25-29 years"	"25-29"	"2023 Week 19 ending May 13, 2023 (provisional)"	"2023/19"	10	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"25-29 years"	"25-29"	"2023 Week 26 ending July 01, 2023 (provisional)"	"2023/26"	11	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"25-29 years"	"25-29"	"2023 Week 30 ending July 29, 2023 (provisional)"	"2023/30"	11	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"25-29 years"	"25-29"	"2023 Week 31 ending August 05, 2023 (provisional)"	"2023/31"	11	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"25-29 years"	"25-29"	"2023 Week 32 ending August 12, 2023 (provisional)"	"2023/32"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"25-29 years"	"25-29"	"2023 Week 36 ending September 09, 2023 (provisional)"	"2023/36"	14	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 01 ending January 07, 2023 (provisional)"	"2023/01"	12	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 02 ending January 14, 2023 (provisional)"	"2023/02"	18	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 03 ending January 21, 2023 (provisional)"	"2023/03"	18	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 05 ending February 04, 2023 (provisional)"	"2023/05"	18	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 06 ending February 11, 2023 (provisional)"	"2023/06"	16	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 07 ending February 18, 2023 (provisional)"	"2023/07"	15	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 08 ending February 25, 2023 (provisional)"	"2023/08"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 09 ending March 04, 2023 (provisional)"	"2023/09"	12	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 11 ending March 18, 2023 (provisional)"	"2023/11"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 12 ending March 25, 2023 (provisional)"	"2023/12"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 13 ending April 01, 2023 (provisional)"	"2023/13"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 14 ending April 08, 2023 (provisional)"	"2023/14"	16	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 15 ending April 15, 2023 (provisional)"	"2023/15"	11	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 16 ending April 22, 2023 (provisional)"	"2023/16"	10	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 18 ending May 06, 2023 (provisional)"	"2023/18"	16	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 21 ending May 27, 2023 (provisional)"	"2023/21"	15	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 23 ending June 10, 2023 (provisional)"	"2023/23"	15	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 25 ending June 24, 2023 (provisional)"	"2023/25"	17	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 26 ending July 01, 2023 (provisional)"	"2023/26"	11	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 27 ending July 08, 2023 (provisional)"	"2023/27"	17	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 28 ending July 15, 2023 (provisional)"	"2023/28"	11	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 30 ending July 29, 2023 (provisional)"	"2023/30"	10	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 31 ending August 05, 2023 (provisional)"	"2023/31"	11	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 32 ending August 12, 2023 (provisional)"	"2023/32"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 33 ending August 19, 2023 (provisional)"	"2023/33"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 35 ending September 02, 2023 (provisional)"	"2023/35"	11	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 36 ending September 09, 2023 (provisional)"	"2023/36"	14	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 40 ending October 07, 2023 (provisional)"	"2023/40"	11	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 41 ending October 14, 2023 (provisional)"	"2023/41"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 42 ending October 21, 2023 (provisional)"	"2023/42"	10	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 44 ending November 04, 2023 (provisional)"	"2023/44"	12	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 45 ending November 11, 2023 (provisional)"	"2023/45"	16	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 46 ending November 18, 2023 (provisional)"	"2023/46"	14	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 48 ending December 02, 2023 (provisional)"	"2023/48"	18	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 50 ending December 16, 2023 (provisional)"	"2023/50"	15	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"30-34 years"	"30-34"	"2023 Week 51 ending December 23, 2023 (provisional)"	"2023/51"	17	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 01 ending January 07, 2023 (provisional)"	"2023/01"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 02 ending January 14, 2023 (provisional)"	"2023/02"	19	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 03 ending January 21, 2023 (provisional)"	"2023/03"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 04 ending January 28, 2023 (provisional)"	"2023/04"	15	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 05 ending February 04, 2023 (provisional)"	"2023/05"	15	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 06 ending February 11, 2023 (provisional)"	"2023/06"	16	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 07 ending February 18, 2023 (provisional)"	"2023/07"	10	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 08 ending February 25, 2023 (provisional)"	"2023/08"	10	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 09 ending March 04, 2023 (provisional)"	"2023/09"	17	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 10 ending March 11, 2023 (provisional)"	"2023/10"	17	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 11 ending March 18, 2023 (provisional)"	"2023/11"	17	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 12 ending March 25, 2023 (provisional)"	"2023/12"	17	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 14 ending April 08, 2023 (provisional)"	"2023/14"	12	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 15 ending April 15, 2023 (provisional)"	"2023/15"	18	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 16 ending April 22, 2023 (provisional)"	"2023/16"	11	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 17 ending April 29, 2023 (provisional)"	"2023/17"	10	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 18 ending May 06, 2023 (provisional)"	"2023/18"	19	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 19 ending May 13, 2023 (provisional)"	"2023/19"	23	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 20 ending May 20, 2023 (provisional)"	"2023/20"	14	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 21 ending May 27, 2023 (provisional)"	"2023/21"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 22 ending June 03, 2023 (provisional)"	"2023/22"	19	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 23 ending June 10, 2023 (provisional)"	"2023/23"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 24 ending June 17, 2023 (provisional)"	"2023/24"	18	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 25 ending June 24, 2023 (provisional)"	"2023/25"	16	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 26 ending July 01, 2023 (provisional)"	"2023/26"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 27 ending July 08, 2023 (provisional)"	"2023/27"	15	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 28 ending July 15, 2023 (provisional)"	"2023/28"	17	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 29 ending July 22, 2023 (provisional)"	"2023/29"	15	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 31 ending August 05, 2023 (provisional)"	"2023/31"	20	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 32 ending August 12, 2023 (provisional)"	"2023/32"	18	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 33 ending August 19, 2023 (provisional)"	"2023/33"	14	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 34 ending August 26, 2023 (provisional)"	"2023/34"	21	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 35 ending September 02, 2023 (provisional)"	"2023/35"	25	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 36 ending September 09, 2023 (provisional)"	"2023/36"	12	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 37 ending September 16, 2023 (provisional)"	"2023/37"	16	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 38 ending September 23, 2023 (provisional)"	"2023/38"	18	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 39 ending September 30, 2023 (provisional)"	"2023/39"	13	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 40 ending October 07, 2023 (provisional)"	"2023/40"	22	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 41 ending October 14, 2023 (provisional)"	"2023/41"	16	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 42 ending October 21, 2023 (provisional)"	"2023/42"	19	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 44 ending November 04, 2023 (provisional)"	"2023/44"	15	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 45 ending November 11, 2023 (provisional)"	"2023/45"	14	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"35-39 years"	"35-39"	"2023 Week 47 ending November 25, 2023 (provisional)"	"2023/47"	16	Not Applicable	Not Applicable
